,法國,德國,印度,義大利,日本,南韓,西班牙,台灣,美國,英國
2020-03-08,46423.0,48800.0,36143.0,25736.0,240807.0,9163.0,27684.0,102.0,79852.0,28601.0
2020-03-09,49984.0,48800.0,36143.0,25736.0,241980.0,9163.0,27684.0,102.0,92097.0,28601.0
2020-03-10,49984.0,48800.0,36143.0,25736.0,253990.0,9163.0,27684.0,104.0,92097.0,28601.0
2020-03-11,49984.0,48800.0,36143.0,25736.0,260025.0,9163.0,27684.0,114.0,92097.0,28601.0
2020-03-12,49984.0,54569.0,36143.0,25736.0,262145.0,9163.0,27684.0,114.0,92097.0,34223.0
2020-03-13,49984.0,54569.0,36143.0,25736.0,262145.0,9163.0,27684.0,114.0,92097.0,34223.0
2020-03-14,49984.0,54569.0,36143.0,28089.0,274290.0,9163.0,27684.0,114.0,92097.0,37396.0
2020-03-15,49984.0,54569.0,36143.0,28089.0,278468.0,9163.0,32371.0,117.0,92097.0,40604.0
2020-03-16,49984.0,54569.0,36143.0,29069.0,278468.0,9163.0,32371.0,120.0,92097.0,40604.0
2020-03-17,49984.0,54569.0,36143.0,29069.0,279727.0,9163.0,32371.0,128.0,105036.0,40604.0
2020-03-18,49984.0,54569.0,36143.0,29069.0,287327.0,9163.0,32371.0,128.0,105164.0,40604.0
2020-03-19,49984.0,54569.0,36143.0,34255.0,289866.0,9163.0,32371.0,128.0,109976.0,40604.0
2020-03-20,53997.0,62607.0,36143.0,34255.0,297785.0,9163.0,32371.0,128.0,109976.0,40604.0
2020-03-21,58432.0,62607.0,36143.0,34255.0,305526.0,9163.0,32371.0,128.0,124919.0,40604.0
2020-03-22,58432.0,67048.0,36143.0,34255.0,314400.0,9163.0,32371.0,135.0,124919.0,45489.0
2020-03-23,65154.0,67048.0,36143.0,40384.0,314400.0,9163.0,32371.0,135.0,124919.0,45489.0
2020-03-24,66452.0,69819.0,40652.0,41832.0,314400.0,9163.0,35583.0,135.0,124919.0,47429.0
2020-03-25,71161.0,69819.0,40652.0,41832.0,322111.0,9163.0,35583.0,142.0,124919.0,47429.0
2020-03-26,75125.0,73605.0,40652.0,41832.0,331526.0,9163.0,35583.0,142.0,124919.0,48338.0
2020-03-27,75125.0,73605.0,40652.0,41832.0,331526.0,10523.0,35583.0,142.0,124919.0,48338.0
2020-03-28,75125.0,73605.0,40652.0,41832.0,343841.0,10523.0,38469.0,151.0,124919.0,48338.0
2020-03-29,75125.0,80236.0,40652.0,41832.0,343841.0,10523.0,39731.0,151.0,138269.0,53612.0
2020-03-30,75125.0,80236.0,40652.0,41832.0,345205.0,10523.0,39731.0,151.0,148297.0,53612.0
2020-03-31,82719.0,80236.0,40652.0,41832.0,347797.0,10523.0,39731.0,155.0,148297.0,53612.0
2020-04-01,82719.0,80236.0,40652.0,46137.0,363476.0,10523.0,39731.0,155.0,148297.0,53612.0
2020-04-02,82719.0,81482.0,40652.0,46137.0,363476.0,10523.0,39731.0,157.0,162849.0,53612.0
2020-04-03,84491.0,82992.0,48632.0,46137.0,363476.0,10589.0,39731.0,157.0,162849.0,53612.0
2020-04-04,84491.0,90952.0,48632.0,46137.0,372582.0,10589.0,39731.0,158.0,162849.0,53612.0
2020-04-05,84491.0,90952.0,51569.0,46137.0,380095.0,10589.0,40345.0,158.0,162849.0,56825.0
2020-04-06,90034.0,90952.0,51569.0,46137.0,380335.0,10589.0,44033.0,161.0,162849.0,56825.0
2020-04-07,90034.0,90952.0,51569.0,49770.0,386163.0,10589.0,51177.0,161.0,176927.0,56825.0
2020-04-08,90034.0,90952.0,53183.0,52992.0,393482.0,10589.0,51682.0,161.0,176927.0,56825.0
2020-04-09,100201.0,90952.0,53183.0,52992.0,393482.0,10589.0,51682.0,168.0,176927.0,56825.0
2020-04-10,100201.0,90952.0,53183.0,52992.0,403963.0,10589.0,52812.0,168.0,176927.0,64686.0
2020-04-11,102718.0,90952.0,55920.0,52992.0,403963.0,10589.0,55755.0,168.0,176927.0,64686.0
2020-04-12,102718.0,90952.0,55920.0,53247.0,406537.0,10589.0,55755.0,168.0,199524.0,64686.0
2020-04-13,102718.0,105983.0,55920.0,58456.0,411819.0,10589.0,55755.0,168.0,199524.0,68755.0
2020-04-14,107506.0,105983.0,55920.0,58456.0,412155.0,10589.0,56327.0,171.0,199524.0,68755.0
2020-04-15,113042.0,105983.0,55920.0,58456.0,422311.0,11291.0,56327.0,173.0,199524.0,73863.0
2020-04-16,113042.0,105983.0,55920.0,60466.0,422311.0,11291.0,56327.0,173.0,199524.0,73863.0
2020-04-17,113042.0,115103.0,55920.0,60466.0,423819.0,11291.0,58483.0,187.0,202945.0,73863.0
2020-04-18,113042.0,115103.0,62566.0,62377.0,433781.0,11291.0,58483.0,187.0,202945.0,73863.0
2020-04-19,113042.0,119212.0,62566.0,68230.0,433781.0,11291.0,58483.0,187.0,202945.0,73863.0
2020-04-20,113042.0,119212.0,62566.0,68230.0,436463.0,11291.0,58483.0,195.0,202945.0,73863.0
2020-04-21,113042.0,119212.0,70174.0,68230.0,446818.0,11291.0,58483.0,195.0,202945.0,78981.0
2020-04-22,120277.0,119212.0,70174.0,72647.0,450246.0,11455.0,58483.0,195.0,231290.0,78981.0
2020-04-23,120277.0,119212.0,70174.0,72864.0,454820.0,12395.0,58483.0,195.0,231290.0,78981.0
2020-04-24,122776.0,119212.0,72774.0,72864.0,464977.0,12395.0,67975.0,195.0,231290.0,78981.0
2020-04-25,136664.0,123739.0,72774.0,72864.0,464977.0,12395.0,67975.0,206.0,231290.0,82948.0
2020-04-26,137661.0,135772.0,72774.0,73221.0,464977.0,12395.0,67975.0,206.0,231290.0,90570.0
2020-04-27,137661.0,135772.0,72774.0,73221.0,464987.0,12395.0,67975.0,206.0,231290.0,90570.0
2020-04-28,137661.0,135772.0,72774.0,78248.0,473279.0,12395.0,70850.0,206.0,231290.0,90570.0
2020-04-29,137661.0,135772.0,72774.0,78248.0,482970.0,12395.0,70850.0,206.0,231290.0,90570.0
2020-04-30,137661.0,138943.0,72774.0,80201.0,482970.0,12395.0,72559.0,206.0,268144.0,90570.0
2020-05-01,137661.0,139336.0,72774.0,80201.0,483050.0,12395.0,72559.0,206.0,268144.0,90570.0
2020-05-02,142041.0,151020.0,72774.0,80201.0,487539.0,12395.0,72559.0,206.0,276089.0,95824.0
2020-05-03,149578.0,151020.0,72774.0,80201.0,497135.0,12395.0,72559.0,210.0,280757.0,95824.0
2020-05-04,149578.0,151020.0,72774.0,80201.0,499331.0,12656.0,72559.0,210.0,284790.0,102669.0
2020-05-05,164320.0,160719.0,72774.0,80201.0,499331.0,12710.0,77950.0,227.0,284790.0,102669.0
2020-05-06,164320.0,160719.0,72774.0,80201.0,504606.0,12710.0,77950.0,227.0,284790.0,104726.0
2020-05-07,164320.0,160719.0,75699.0,84041.0,507347.0,12710.0,86233.0,229.0,311863.0,104726.0
2020-05-08,171358.0,160719.0,85432.0,86589.0,513093.0,12710.0,86233.0,229.0,311863.0,110643.0
2020-05-09,171358.0,160719.0,85432.0,86589.0,522269.0,12710.0,86233.0,229.0,311863.0,110643.0
2020-05-10,178432.0,165321.0,85432.0,94549.0,522497.0,12710.0,86233.0,229.0,311863.0,110643.0
2020-05-11,178432.0,165321.0,85432.0,94549.0,522497.0,12710.0,86233.0,229.0,328950.0,110643.0
2020-05-12,178432.0,165321.0,85432.0,94549.0,533179.0,12710.0,86233.0,229.0,329863.0,110643.0
2020-05-13,178432.0,180031.0,85432.0,94549.0,533179.0,12710.0,86233.0,231.0,329863.0,110643.0
2020-05-14,178432.0,184369.0,85432.0,98024.0,533179.0,12710.0,86233.0,231.0,350323.0,110643.0
2020-05-15,178432.0,184369.0,85432.0,98024.0,534040.0,12710.0,94505.0,244.0,350915.0,112686.0
2020-05-16,178432.0,184369.0,93005.0,101269.0,540329.0,12710.0,94505.0,244.0,350915.0,121205.0
2020-05-17,189059.0,190812.0,93005.0,101269.0,543264.0,12710.0,94505.0,244.0,367337.0,121205.0
2020-05-18,189059.0,190812.0,93005.0,106049.0,551010.0,12710.0,94505.0,244.0,367337.0,121205.0
2020-05-19,191548.0,190812.0,93354.0,107940.0,558027.0,12710.0,94505.0,249.0,376902.0,121205.0
2020-05-20,199151.0,202529.0,93354.0,107940.0,559388.0,12710.0,100485.0,249.0,376902.0,127385.0
2020-05-21,208169.0,202529.0,93838.0,107940.0,560768.0,12710.0,100485.0,251.0,376902.0,130285.0
2020-05-22,215298.0,202529.0,96276.0,109179.0,564356.0,12710.0,100485.0,255.0,376902.0,130285.0
2020-05-23,215298.0,205717.0,96276.0,112673.0,564356.0,12710.0,100485.0,257.0,376902.0,130285.0
2020-05-24,215298.0,205717.0,96276.0,112673.0,574088.0,12710.0,100485.0,257.0,412358.0,135751.0
2020-05-25,228370.0,217064.0,96276.0,120340.0,574088.0,12710.0,106011.0,257.0,416091.0,135751.0
2020-05-26,228370.0,217064.0,97285.0,120340.0,576422.0,12710.0,106011.0,257.0,416904.0,135751.0
2020-05-27,233151.0,217064.0,97285.0,123281.0,576422.0,12710.0,110061.0,261.0,416904.0,135751.0
2020-05-28,233151.0,225843.0,97285.0,123281.0,580063.0,12710.0,110061.0,271.0,416904.0,138321.0
2020-05-29,233151.0,225843.0,106298.0,127046.0,583715.0,12710.0,110061.0,271.0,416904.0,138321.0
2020-05-30,233151.0,225843.0,106298.0,127046.0,583715.0,12710.0,110061.0,275.0,416904.0,149003.0
2020-05-31,235600.0,235124.0,107356.0,127046.0,585328.0,12710.0,110061.0,278.0,448098.0,149003.0
2020-06-01,251127.0,235124.0,107356.0,134812.0,589519.0,12978.0,114600.0,278.0,448098.0,149003.0
2020-06-02,253415.0,242037.0,107356.0,134812.0,595266.0,12978.0,120495.0,278.0,448098.0,150850.0
2020-06-03,253415.0,242037.0,114432.0,137852.0,603290.0,12978.0,120495.0,281.0,463501.0,153237.0
2020-06-04,253415.0,242037.0,114432.0,137852.0,603290.0,14600.0,120495.0,281.0,484841.0,153804.0
2020-06-05,258357.0,242037.0,117588.0,137852.0,603290.0,14600.0,123699.0,286.0,487007.0,160050.0
2020-06-06,270682.0,242037.0,117588.0,137852.0,605866.0,14600.0,123699.0,286.0,493928.0,163502.0
2020-06-07,270682.0,247688.0,121766.0,137852.0,608809.0,14600.0,130606.0,288.0,493928.0,163502.0
2020-06-08,270682.0,260785.0,121766.0,137852.0,608809.0,14600.0,130606.0,288.0,493928.0,163502.0
2020-06-09,270682.0,262862.0,121766.0,141897.0,614778.0,14600.0,135851.0,288.0,509783.0,163502.0
2020-06-10,281298.0,274405.0,121766.0,141897.0,614778.0,14600.0,135851.0,291.0,509783.0,173320.0
2020-06-11,281298.0,274405.0,121766.0,143286.0,614778.0,14600.0,135851.0,295.0,509783.0,173320.0
2020-06-12,289203.0,278403.0,125531.0,151997.0,626002.0,14600.0,135851.0,296.0,541013.0,173320.0
2020-06-13,297663.0,278403.0,125531.0,156917.0,626002.0,14600.0,138662.0,296.0,541013.0,173320.0
2020-06-14,302136.0,278403.0,125531.0,156917.0,626886.0,14600.0,138662.0,296.0,541013.0,173320.0
2020-06-15,302136.0,286428.0,131032.0,156917.0,626886.0,14600.0,138662.0,296.0,546022.0,181050.0
2020-06-16,302136.0,291988.0,131032.0,156917.0,626886.0,14600.0,138696.0,299.0,546022.0,182042.0
2020-06-17,302136.0,291988.0,131032.0,163492.0,637955.0,14600.0,145607.0,313.0,546022.0,183392.0
2020-06-18,302136.0,305643.0,131032.0,166103.0,638484.0,14600.0,149663.0,313.0,583945.0,183392.0
2020-06-19,322163.0,309270.0,139044.0,166103.0,642287.0,14600.0,150590.0,313.0,583945.0,188979.0
2020-06-20,322163.0,309270.0,139044.0,166103.0,642287.0,14600.0,152157.0,318.0,583945.0,188979.0
2020-06-21,324410.0,309270.0,139044.0,166103.0,642287.0,14600.0,155637.0,318.0,583945.0,189100.0
2020-06-22,330237.0,309270.0,139044.0,167883.0,642287.0,14600.0,155637.0,319.0,587303.0,194118.0
2020-06-23,340062.0,319905.0,139044.0,169065.0,642287.0,15305.0,155637.0,319.0,612586.0,194118.0
2020-06-24,340062.0,319905.0,147737.0,169065.0,645767.0,15305.0,156178.0,327.0,612586.0,199627.0
2020-06-25,340062.0,331533.0,147737.0,179374.0,645767.0,15305.0,164914.0,327.0,626785.0,204408.0
2020-06-26,340062.0,334432.0,147737.0,179374.0,655204.0,15305.0,165538.0,327.0,626785.0,208808.0
2020-06-27,345204.0,334432.0,147737.0,181416.0,655204.0,15305.0,170621.0,327.0,657056.0,208808.0
2020-06-28,355124.0,334432.0,147737.0,185522.0,656627.0,15305.0,170621.0,334.0,657056.0,208808.0
2020-06-29,355124.0,334432.0,150530.0,187880.0,656627.0,15305.0,170621.0,336.0,659601.0,208808.0
2020-06-30,355124.0,346400.0,150530.0,187880.0,659882.0,15305.0,170621.0,336.0,659601.0,208808.0
2020-07-01,371872.0,349503.0,150530.0,187880.0,663862.0,15305.0,170621.0,336.0,659601.0,208808.0
2020-07-02,376132.0,352446.0,150530.0,194189.0,663862.0,15305.0,170621.0,336.0,676035.0,223040.0
2020-07-03,376132.0,354125.0,150530.0,197853.0,664786.0,15305.0,177682.0,336.0,702136.0,224492.0
2020-07-04,377800.0,368785.0,150530.0,201349.0,667080.0,15305.0,177682.0,336.0,702136.0,224492.0
2020-07-05,377800.0,368785.0,150530.0,201349.0,667080.0,15305.0,177682.0,337.0,702136.0,224492.0
2020-07-06,377800.0,368785.0,150530.0,201349.0,669725.0,15305.0,187806.0,337.0,708414.0,237184.0
2020-07-07,387527.0,384622.0,150530.0,209647.0,669725.0,15305.0,188087.0,348.0,708414.0,237184.0
2020-07-08,401545.0,384622.0,160980.0,209647.0,669725.0,15305.0,192394.0,352.0,748613.0,245389.0
2020-07-09,403987.0,391203.0,169403.0,209647.0,669725.0,15305.0,192394.0,352.0,748613.0,245389.0
2020-07-10,403987.0,391203.0,171732.0,213588.0,677500.0,16145.0,192394.0,352.0,748613.0,245389.0
2020-07-11,410283.0,396541.0,171732.0,215685.0,677500.0,16145.0,194945.0,352.0,748613.0,245389.0
2020-07-12,410283.0,398177.0,177370.0,220423.0,677500.0,16145.0,199962.0,352.0,754549.0,251834.0
2020-07-13,413222.0,402234.0,177370.0,220423.0,677500.0,16145.0,201507.0,365.0,773798.0,251834.0
2020-07-14,425342.0,409874.0,177370.0,220423.0,680596.0,16145.0,201507.0,365.0,792506.0,254383.0
2020-07-15,440660.0,409874.0,177370.0,228718.0,680596.0,16145.0,201507.0,365.0,792506.0,254383.0
2020-07-16,443437.0,411213.0,184411.0,228718.0,680596.0,16145.0,206076.0,365.0,792506.0,266917.0
2020-07-17,443437.0,423858.0,184411.0,228718.0,680913.0,16145.0,211702.0,365.0,817125.0,266917.0
2020-07-18,455912.0,433687.0,184411.0,228718.0,685014.0,16145.0,211702.0,365.0,824880.0,273321.0
2020-07-19,455912.0,433687.0,184411.0,234686.0,685014.0,16145.0,211702.0,377.0,848583.0,273321.0
2020-07-20,459214.0,433687.0,184424.0,240185.0,685014.0,16145.0,211702.0,377.0,848583.0,273321.0
2020-07-21,461461.0,437156.0,184424.0,240185.0,685014.0,16145.0,219206.0,377.0,861453.0,275421.0
2020-07-22,461461.0,437156.0,184424.0,240185.0,690834.0,16145.0,219206.0,377.0,861453.0,276361.0
2020-07-23,477527.0,437156.0,188128.0,240185.0,690834.0,16781.0,219206.0,377.0,875428.0,282440.0
2020-07-24,477527.0,447811.0,192241.0,240185.0,690834.0,16781.0,222172.0,377.0,875428.0,282440.0
2020-07-25,486942.0,460614.0,192241.0,240684.0,690834.0,16781.0,226081.0,386.0,875428.0,282440.0
2020-07-26,486942.0,460614.0,192241.0,243952.0,693174.0,16781.0,227033.0,388.0,875428.0,282440.0
2020-07-27,486942.0,460614.0,192241.0,257865.0,693174.0,16781.0,227033.0,391.0,901942.0,291442.0
2020-07-28,501067.0,470531.0,201747.0,257926.0,694973.0,16781.0,227033.0,391.0,901942.0,291442.0
2020-07-29,501067.0,470531.0,201747.0,262187.0,694973.0,16781.0,234963.0,391.0,902030.0,294804.0
2020-07-30,515216.0,470856.0,202458.0,262187.0,694973.0,16781.0,235342.0,394.0,938834.0,294804.0
2020-07-31,515216.0,481844.0,202458.0,267963.0,696467.0,16781.0,235342.0,394.0,938834.0,299430.0
2020-08-01,515216.0,487241.0,202458.0,267963.0,696467.0,16781.0,238423.0,394.0,952947.0,309887.0
2020-08-02,523651.0,487241.0,202458.0,267963.0,696467.0,16781.0,238423.0,394.0,984870.0,309887.0
2020-08-03,523651.0,497896.0,202458.0,267963.0,696467.0,16781.0,244345.0,394.0,993101.0,309887.0
2020-08-04,536662.0,497896.0,202458.0,275145.0,696467.0,16781.0,244345.0,394.0,993101.0,311788.0
2020-08-05,536662.0,504650.0,202458.0,281547.0,696467.0,16781.0,244866.0,402.0,1026189.0,311788.0
2020-08-06,537505.0,506522.0,204608.0,281547.0,696467.0,16781.0,247538.0,402.0,1026189.0,316024.0
2020-08-07,552236.0,519832.0,209329.0,289202.0,696593.0,17671.0,247538.0,402.0,1026189.0,316024.0
2020-08-08,555324.0,537955.0,218897.0,289202.0,696593.0,17671.0,261206.0,404.0,1026189.0,329148.0
2020-08-09,555752.0,537955.0,224856.0,289202.0,696593.0,17671.0,261206.0,414.0,1026189.0,330360.0
2020-08-10,555752.0,537955.0,224856.0,289202.0,696593.0,17671.0,267516.0,414.0,1053915.0,339177.0
2020-08-11,578256.0,542469.0,224856.0,289266.0,699432.0,17671.0,267516.0,414.0,1075980.0,345289.0
2020-08-12,578256.0,555396.0,224856.0,298058.0,699555.0,17671.0,267516.0,423.0,1081920.0,345289.0
2020-08-13,578256.0,555396.0,224856.0,298058.0,699555.0,17671.0,272587.0,425.0,1108791.0,345289.0
2020-08-14,578256.0,555396.0,235784.0,303319.0,699714.0,17671.0,278836.0,425.0,1108791.0,353841.0
2020-08-15,606890.0,562275.0,235784.0,305917.0,699714.0,17819.0,278836.0,425.0,1110297.0,353841.0
2020-08-16,606890.0,582229.0,236453.0,309918.0,699714.0,17819.0,278836.0,426.0,1110297.0,353841.0
2020-08-17,607519.0,588232.0,237533.0,309918.0,699714.0,17939.0,278836.0,431.0,1116299.0,353841.0
2020-08-18,607519.0,588232.0,239605.0,309918.0,699714.0,17939.0,278836.0,431.0,1144209.0,353841.0
2020-08-19,612885.0,588232.0,246824.0,317878.0,699714.0,17939.0,278836.0,435.0,1144209.0,371416.0
2020-08-20,621352.0,591244.0,246824.0,317878.0,699714.0,17939.0,288219.0,441.0,1148295.0,371416.0
2020-08-21,626592.0,591244.0,252499.0,317878.0,699714.0,17939.0,288219.0,441.0,1153891.0,371416.0
2020-08-22,648972.0,613687.0,252499.0,330756.0,699714.0,17939.0,295470.0,441.0,1169644.0,378735.0
2020-08-23,651464.0,613687.0,252499.0,330756.0,699714.0,17939.0,295470.0,445.0,1206763.0,378735.0
2020-08-24,659262.0,613687.0,252499.0,330756.0,699714.0,17939.0,297504.0,445.0,1213997.0,378913.0
2020-08-25,659262.0,617711.0,252499.0,334420.0,699714.0,18673.0,297504.0,445.0,1244428.0,384737.0
2020-08-26,670232.0,617711.0,252499.0,342223.0,699714.0,18673.0,301633.0,445.0,1244428.0,387422.0
2020-08-27,670232.0,643486.0,252499.0,342223.0,699714.0,18673.0,305604.0,454.0,1244428.0,396779.0
2020-08-28,670232.0,646181.0,252499.0,342223.0,699714.0,18673.0,314816.0,454.0,1244428.0,401356.0
2020-08-29,695158.0,646181.0,252499.0,342223.0,699714.0,18673.0,314816.0,459.0,1244879.0,401356.0
2020-08-30,695158.0,650775.0,256838.0,348541.0,699714.0,18673.0,320764.0,459.0,1282982.0,409112.0
2020-08-31,705413.0,656703.0,265131.0,348541.0,699714.0,18673.0,320764.0,459.0,1282982.0,409112.0
2020-09-01,709805.0,656703.0,265131.0,352524.0,699714.0,18673.0,320764.0,459.0,1328940.0,409112.0
2020-09-02,709805.0,682340.0,279773.0,353931.0,699714.0,18673.0,329827.0,459.0,1328940.0,419572.0
2020-09-03,714175.0,682340.0,279773.0,361481.0,699714.0,18673.0,329827.0,459.0,1328940.0,419572.0
2020-09-04,714987.0,682340.0,279773.0,361481.0,699714.0,18673.0,329827.0,459.0,1357263.0,421796.0
2020-09-05,718753.0,698491.0,279773.0,361481.0,699714.0,18673.0,332960.0,469.0,1376224.0,421796.0
2020-09-06,744325.0,698491.0,286927.0,370574.0,699714.0,18824.0,337553.0,469.0,1376224.0,432547.0
2020-09-07,752936.0,708709.0,286927.0,370574.0,699714.0,18824.0,337553.0,474.0,1389239.0,432547.0
2020-09-08,752936.0,708709.0,292504.0,370574.0,699714.0,18824.0,345039.0,479.0,1416292.0,432547.0
2020-09-09,765777.0,717977.0,294721.0,379082.0,699714.0,19282.0,348672.0,479.0,1416292.0,445042.0
2020-09-10,765777.0,717977.0,294721.0,391164.0,699714.0,19558.0,348672.0,479.0,1416292.0,448525.0
2020-09-11,771648.0,724146.0,297127.0,391164.0,699714.0,19558.0,354495.0,479.0,1416292.0,448525.0
2020-09-12,775523.0,738228.0,297127.0,391164.0,699714.0,19617.0,354495.0,487.0,1426123.0,455394.0
2020-09-13,793404.0,745405.0,297127.0,391164.0,699714.0,19617.0,354495.0,487.0,1444973.0,455394.0
2020-09-14,793404.0,745405.0,297127.0,394565.0,699714.0,19617.0,354777.0,487.0,1457970.0,462500.0
2020-09-15,793404.0,752664.0,304782.0,396090.0,699714.0,19617.0,365578.0,489.0,1469895.0,462500.0
2020-09-16,810518.0,752664.0,304782.0,398425.0,699714.0,19617.0,365578.0,495.0,1517926.0,462500.0
2020-09-17,810518.0,763563.0,304782.0,412323.0,699714.0,19617.0,371116.0,495.0,1517926.0,462500.0
2020-09-18,811092.0,763563.0,304782.0,412323.0,699714.0,19617.0,371116.0,499.0,1517926.0,469691.0
2020-09-19,818335.0,763563.0,312691.0,415897.0,699714.0,19617.0,371116.0,499.0,1525921.0,481809.0
2020-09-20,835579.0,786707.0,314346.0,415897.0,699714.0,19617.0,381399.0,499.0,1525921.0,481809.0
2020-09-21,848575.0,789691.0,322068.0,419417.0,699714.0,19617.0,381399.0,504.0,1554296.0,481809.0
2020-09-22,848575.0,802010.0,322068.0,419417.0,699714.0,19617.0,381399.0,504.0,1560717.0,481809.0
2020-09-23,849317.0,809538.0,328660.0,426875.0,699714.0,19617.0,381399.0,504.0,1583961.0,487611.0
2020-09-24,849317.0,809538.0,328660.0,426875.0,699714.0,19617.0,382993.0,504.0,1595420.0,487611.0
